United States Billion-Dollar Disasters Cost (CPI-Adjusted)
Cost values are in billions of dollars
State,Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
US,2000,1,9.2,8.7,10.0,8.3,10.4,8.1,10.5,1,1.6,0.9,1.8,1.3,2.0,0.9,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.3,1.6,2.2,1.6,2.4,1.6,2.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.8,2.2,1.8,2.2,1.6,2.4,1,1.3,1.1,1.5,0.9,1.5,0.9,1.7,5,15.4,14.1,17.7,13.9,18.5,13.1,19.0
US,2001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.7,6.0,6.9,5.8,7.2,5.7,7.4,1,14.9,12.6,15.9,12.1,16.8,11.7,17.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,21.6,18.6,22.8,17.9,24.0,17.4,24.7
US,2002,1,15.9,15.8,17.4,15.5,17.8,15.3,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.8,4.5,5.2,4.3,5.5,4.1,5.5,2,3.9,3.5,4.3,3.1,4.6,3.1,4.8,1,2.3,1.9,2.6,1.7,2.8,1.7,2.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,26.9,25.7,29.5,24.6,30.7,24.2,31.2
US,2003,1,8.6,7.9,8.8,7.7,8.9,7.6,9.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,13.6,12.3,15.3,11.8,15.8,11.5,16.2,1,9.3,7.9,9.6,7.6,10.1,7.6,10.3,1,6.6,5.6,6.9,5.4,7.3,5.2,7.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,38.1,33.7,40.6,32.5,42.1,31.9,43.2
US,2004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.8,2.7,3.1,2.5,3.3,2.3,3.5,4,88.4,79.2,94.5,77.0,97.8,75.8,99.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,91.2,81.9,97.6,79.5,101.1,78.1,103.1
US,2005,1,2.4,2.5,2.8,2.3,2.8,2.3,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.4,1.3,1.5,1.3,1.5,1.1,1.5,4,261.6,219.5,285.8,208.5,302.2,201.7,312.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,265.4,223.3,290.1,212.1,306.5,205.1,317.2
US,2006,1,9.5,8.8,10.3,8.7,10.6,8.5,10.7,1,2.3,2.2,3.2,2.0,3.5,1.8,3.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,11.0,9.9,11.3,9.6,11.6,9.2,12.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,2.1,2.5,2.1,2.7,1.9,2.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,25.1,23.0,27.3,22.4,28.4,21.4,29.2
US,2007,1,5.4,5.4,6.0,5.2,6.2,5.2,6.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.3,4.6,6.0,4.4,6.3,4.3,6.3,1,3.8,3.3,3.8,3.2,3.8,3.2,3.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.1,3.9,4.5,3.8,4.7,3.6,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,18.6,17.2,20.3,16.6,21.0,16.3,21.4
US,2008,1,10.4,9.8,11.1,9.5,11.5,9.3,11.7,1,14.7,11.5,14.5,11.0,15.1,10.7,15.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,13.2,12.5,14.2,11.9,14.5,11.3,14.6,3,53.3,48.8,57.2,47.5,59.0,46.8,60.2,1,1.8,1.7,2.0,1.6,2.0,1.4,2.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,93.4,84.3,99.0,81.5,102.1,79.5,104.0
US,2009,1,5.2,5.0,6.2,4.9,6.5,4.7,6.7,1,1.3,1.0,1.3,0.9,1.3,0.9,1.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,11.8,10.9,11.8,10.5,12.1,10.2,12.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5,1.3,1.6,1.3,1.7,1.2,1.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,19.8,18.2,20.9,17.6,21.6,17.0,22.1
